CPU_Usage,RAM_Usage,Disk_Errors,Uptime,Failure
21.80793236316404,76.4912088939846,1,65.43840121781236,0
69.32648159746442,65.76971938072266,2,145.95840957445128,0
35.88584726938735,59.03762927118391,7,443.44285072108073,1
5.258423543084878,58.170968311155214,6,445.2740961144347,1
67.28230703747295,85.01185250014403,5,143.36529586517028,0
58.746639093596734,77.35052460456713,9,141.87080955104526,1
82.77069300271218,24.05760631275897,9,88.08474073245098,1
74.21056788166186,92.45888135827329,1,276.08940525920474,1
44.070133229515775,30.788182344890036,2,358.6550556808313,0
92.6081845060838,81.14442740024543,8,36.0537787720075,1
30.910871832296205,56.84584837632735,1,57.053108838448,0
43.98288982624036,9.6531680776204,6,492.63765618560035,1
63.15094180053787,25.752392758595487,0,277.1003767315668,0
91.09684970637957,17.271349894081954,2,97.74881011001952,1
0.9646497835704704,82.21067111742497,2,401.9256680528279,0
22.420205696036234,40.48556225930131,8,190.33668549963235,1
27.15888501818384,23.435800264409302,1,261.90306148523905,0
41.743266566454984,52.882137504918866,9,226.45808678994,1
25.599124254902616,96.54724854606044,5,277.4425075477738,1
49.24105845806748,3.980287517413761,4,437.1176392397189,0
